id,essay_text,sample_type,expected_wrong_words,expected_corrections,expected_category,expected_vocab_original,expected_vocab_suggestion,notes
1,Education is a very big and importent part of every student's life because it helps them build a better futuer and understand the world around them.,spelling_vocab,importent; futuer,important; future,OTHER,very big,huge,Tests spelling mistakes and a simple vocabulary phrase.
2,"Technology has changed teh way students learn in every contry, and it gives them many tools to search and practice new skills.",spelling,teh; contry,the; country,OTHER,,,Tests common spelling mistakes.
3,"There are alot of people who think languges are not useful, but learning another language can improve communication and career chances.",spelling,alot; languges,a lot; languages,ARGUMENTATIVE,,,Tests spelling mistakes and argumentative wording.
4,"In my opinion, students should learn more languges because communication is a good skill for the futuer and helps people work together.",spelling_vocab,languges; futuer,languages; future,ARGUMENTATIVE,good,strong,"Tests opinion language, spelling correction, and vocabulary."
5,"Reading books is importent because it improves vocabulary, supports imagination, and helps students think about different ideas clearly.",spelling_vocab,importent,important,OTHER,think about,consider,Tests one spelling mistake and one vocabulary suggestion.
6,"History helps people understand past wars, revolutions, and social changes, so students can learn from earlier mistakes and decisions.",category,,,HISTORY,,,Clean text sample with history category.
7,A narrative essay usually tells a story about a character who faces a problem and learns something meaningful from the experience.,category,,,NARRATIVE,,,Clean text sample with narrative category.
8,"Ethical decisions are important because justice, rights, and moral responsibility affect how people live together in a fair society.",category,,,ETHICS,,,Clean text sample with ethics category.
9,The author uses symbolism in the novel to show how fear changes the main character and affects the meaning of the story.,category_vocab,,,LITERATURE REVIEW,show,explain,Tests literature keywords and simple vocabulary.
10,"Social media can be bad for students when they use it too much, but it can also be useful for learning and communication.",argument_vocab,,,ARGUMENTATIVE,bad,weak,Tests argumentative text and simple vocabulary.
11,"Climate change is an importent problem because it affects water, farming, health, and the futuer of many communities around the world.",spelling,importent; futuer,important; future,ARGUMENTATIVE,,,Tests common academic topic with spelling mistakes.
12,"Learning online can show students new resources, but teachers still need to guide them and make lessons clear and useful.",vocab,,,OTHER,show,explain,Tests simple vocabulary suggestion without spelling errors.
13,"The school library is a good place for students because it gives them quiet time to read, write, and prepare for exams.",vocab,,,OTHER,good,strong,Tests better word suggestion for a simple sentence.
14,"Pollution is bad for health because dirty air can harm children, older people, and workers who spend a lot of time outside.",vocab,,,ARGUMENTATIVE,bad,weak,Tests vocabulary replacement in an environmental essay.
15,"Some people argue that homework is useful, while others believe it causes stress and takes time away from family activities.",argument,,,ARGUMENTATIVE,,,Tests argumentative category without spelling mistakes.
16,The revolution changed the country during the nineteenth century and created new political ideas that shaped later history.,category,,,HISTORY,,,Tests history category using history-related keywords.
17,"The novel presents a conflict between freedom and fear, and the author uses the main character to show this theme.",category_vocab,,,LITERATURE REVIEW,show,explain,Tests literature category with clear meaning.
18,"A student can get better at writing by reading daily, practicing short paragraphs, and asking teachers for feedback.",vocab,,,OTHER,get better,improve,Tests simple vocabulary suggestion.
19,"Communication is important in every contry because people need clear languges to share ideas, solve problems, and work together.",spelling,contry; languges,country; languages,OTHER,,,Tests spelling mistakes in a communication topic.
20,"Education is importent because it prepares students for the futuer, helps them understand teh world, and improves their confidence.",spelling,importent; futuer; teh,important; future; the,OTHER,,,Tests multiple spelling mistakes in one paragraph.
21,"A moral person should respect human rights, support justice, and think carefully before making decisions that affect others.",category,,,ETHICS,,,Tests ethics category using moral and rights keywords.
22,The story follows a young character who learns courage after facing a difficult problem in a small village.,category,,,NARRATIVE,,,Tests narrative category with character and story keywords.
23,"Using phones in class can distract students, but it can also help them search for information when teachers guide the activity.",argument,,,ARGUMENTATIVE,,,Tests balanced argumentative essay.
24,Many students think about their goals before choosing a university because this decision can affect their future careers.,vocab,,,OTHER,think about,consider,Tests vocabulary suggestion in education topic.
25,"The essay has clear ideas, but the conclusion is very big compared with the introduction and needs better balance.",vocab,,,OTHER,very big,huge,Tests simple phrase replacement.
26,"People should protect water because clean rivers and lakes are important for farming, health, and future generations.",argument,,,ARGUMENTATIVE,,,Tests environmental argumentative sample.
27,The writer uses symbolism to show the conflict between hope and fear throughout the novel.,category_vocab,,,LITERATURE REVIEW,show,explain,Tests literature category and vocabulary suggestion.
28,"Learning teamwork is a good skill because students need to listen, share tasks, and respect different opinions.",vocab,,,OTHER,good,strong,Tests simple vocabulary improvement.
29,"Some schools have alot of activities, but students still need enough time to study, rest, and meet their families.",spelling,alot,a lot,OTHER,,,Tests one common spelling mistake.
30,"The war changed the century because people moved to new places, governments changed, and many families faced difficult choices.",category,,,HISTORY,,,Tests history category with war and century keywords.
